2018-05-03 15:54:30,057 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:54:30,950 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2018-05-03 15:54:31,100 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8163/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:54:31,101 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8163/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:54:31,201 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-05-03 15:54:31,422 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2018-05-03 15:54:31,600 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2018-05-03 15:54:42,786 | INFO  | Establishing network connection from vm://dynamic-broker1 to tcp://Notebook-ssw:61636 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1]
2018-05-03 15:54:42,836 | INFO  | Connector vm://dynamic-broker1 started | org.apache.activemq.broker.TransportConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1]
2018-05-03 15:54:42,924 | INFO  | Network connection between vm://dynamic-broker1#0 and tcp://Notebook-ssw/192.168.0.113:61636@17359 (dynamic-broker2) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://Notebook-ssw/192.168.0.113:61636@17359, localBroker= vm://dynamic-broker1#0
2018-05-03 15:56:26,587 | INFO  | Establishing network connection from vm://dynamic-broker1 to tcp://Notebook-ssw:61646 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1]
2018-05-03 15:56:26,667 | INFO  | Network connection between vm://dynamic-broker1#2 and tcp://Notebook-ssw/192.168.0.113:61646@17369 (dynamic-broker3) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://Notebook-ssw/192.168.0.113:61646@17369, localBroker= vm://dynamic-broker1#2
2018-05-03 15:58:45,201 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17351-1525330469417-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-17
2018-05-03 15:58:45,209 | WARN  | Transport Connection to: vm://dynamic-broker1#0 failed: org.apache.activemq.transport.TransportDisposedIOException: peer (vm://dynamic-broker1#0) stopped. | org.apache.activemq.broker.TransportConnection.Transport | Thread-17
